23/11/2019|North Sea oil: Laboured Premium
22/11/2019|Investing in Nigeria
22/11/2019|State promises hike in oil take will benefit all Nigerians
22/11/2019|Market analysts assess economic and political outlook
21/11/2019|Labour proposes windfall tax to pay for new green deal
21/11/2019|Centrica reassures investors on customer defections
20/11/2019|Labour plan for windfall tax on oil industry draws union outcry
20/11/2019|Saudi Aramco does not rule the world
19/11/2019|Iran’s deepening malaise laid bare by protests
19/11/2019|The inside story of how Saudi Aramco’s IPO went off course Premium
19/11/2019|SSE warns on Labour proposal to nationalise networks
18/11/2019|US state carbon credit prices hit record highs
18/11/2019|Russia’s Gazprom Neft profit declines by a fifth on lower oil prices
18/11/2019|Saudi Aramco abandons international IPO roadshow
17/11/2019|African energy independent finds oil off Ghana coast
17/11/2019|Iran’s supreme leader condemns petrol price protests
17/11/2019|Growing demand for fossil fuels is a wake-up call
17/11/2019|Saudi Aramco pares back IPO on weak foreign demand
17/11/2019|There’s a big change in electricity beyond energy transition
15/11/2019|Saudis ‘unhappy’ with foreign demand for Aramco IPO
15/11/2019|IEA says Opec and allies face ‘major challenge’ in 2020
15/11/2019|Russia makes fresh effort to set its oil price
15/11/2019|Icahn suffers Occidental legal blow as Buffett buys in
14/11/2019|EIB to phase out fossil fuel lending by 2021
14/11/2019|What we can learn from the shipping fuel switch
13/11/2019|Tullow Oil: fire and brimstone sermon Premium
13/11/2019|Tullow shares tumble after warning on Guyana projects
12/11/2019|New York governor pressures National Grid over gas supplies
12/11/2019|EIB/natural gas: scorched earth policy Premium
12/11/2019|Faroe’s former leaders set to list new acquisition vehicle
11/11/2019|Oil will remain an attractive investment opportunity for decades to come — BHP
11/11/2019|Intercontinental Exchange to launch new platform in Abu Dhabi
11/11/2019|Robots help increase safety on oil rigs
11/11/2019|Is digitisation the next phase of oil and gas revolution?
11/11/2019|Oil & Gas 4.0
11/11/2019|The ship that is really an LNG plant
11/11/2019|Sanctions take toll on Russian oil and gas exploration
11/11/2019|How Russia is making its oil reserves work harder
11/11/2019|AI sensors keep refineries ticking along
11/11/2019|Eastern Mediterranean gas seeks a buyer
10/11/2019|Cambodian oil: the dream that refuses to die Premium
10/11/2019|Venezuela selling cut-price oil as US sanctions bite
10/11/2019|Shipping industry seeks response to calls for cuts in emissions
09/11/2019|Questions hang over Saudi Aramco’s colossal valuation
08/11/2019|Saudi Aramco IPO: sheikh down Premium
08/11/2019|Poland’s regulator slaps fine on Engie over Nordstream project
07/11/2019|Saudi Aramco bankers dangle prospect of bonus payouts
07/11/2019|Technology can help natural gas stay competitive
