|DocCount|IDF
north|184|4.528852416169467
sea|164|4.6439217459542546
oil|10205|0.5131550985345079
laboured|1|9.743788173778453
premium|148|4.746575900014338
investing|8|7.664346632098617
in|2814|1.8014259361041187
nigeria|133|4.8534390455567
state|52|5.792544455197026
promise|15|7.035737972676243
hike|31|6.309800969293307
take|107|5.070959339316547
will|261|4.17926776645576
benefit|15|7.035737972676243
all|53|5.773496260226331
nigerian|26|6.485691635756971
market|781|3.083213023938767
analyst|53|5.773496260226331
ass|7|7.79787802472314
economic|131|4.868590850577301
and|810|3.0467539261119687
political|22|6.652745720420137
outlook|251|4.218335234646669
labour|3|8.645175885110344
proposes|11|7.345892900980083
windfall|6|7.952028704550398
tax|53|5.773496260226331
to|3647|1.5421279829697727
pay|45|5.937125684008134
for|1415|2.488903363701115
new|287|4.084305958018832
green|31|6.309800969293307
deal|417|3.710701951979652
centrica|11|7.345892900980083
reassures|4|8.357493812658563
investor|187|4.5126795569238665
on|3250|1.6573778984546699
customer|6|7.952028704550398
defection|1|9.743788173778453
plan|135|4.838513395340024
industry|149|4.739841867832994
draw|126|4.907506266826975
union|5|8.134350261344352
outcry|1|9.743788173778453
saudi|793|3.067964952143605
aramco|139|4.809314240647761
doe|43|5.9825880580848905
not|172|4.596293696965
rule|44|5.959598539860192
the|1441|2.470695577778931
world|173|4.590496579280674
iran|617|3.3189191498730652
deepening|2|9.050640993218508
malaise|2|9.050640993218508
laid|2|9.050640993218508
bare|1|9.743788173778453
by|413|3.7203405808174206
protest|13|7.178838816316916
inside|7|7.79787802472314
story|9|7.546563596442233
of|1508|2.4252486252105516
how|152|4.719907652932177
aramcos|18|6.853416415882289
ipo|72|5.467122054762398
went|1|9.743788173778453
off|181|4.545291142512627
course|11|7.345892900980083
sse|2|9.050640993218508
warns|87|5.27788005512387
proposal|10|7.441203080784407
nationalise|1|9.743788173778453
network|3|8.645175885110344
u|2404|1.958898878123355
carbon|34|6.217427649162292
credit|22|6.652745720420137
price|2647|1.8626059715513517
hit|385|3.7905448394906687
record|158|4.681193140751486
high|453|3.627896048295419
russia|263|4.171634141600689
gazprom|20|6.748055900224462
neft|6|7.952028704550398
profit|217|4.363890820237994
decline|201|4.440483265719378
a|2396|1.962232214543113
fifth|9|7.546563596442233
lower|413|3.7203405808174206
abandon|8|7.664346632098617
international|17|6.910574829722237
roadshow|1|9.743788173778453
african|7|7.79787802472314
energy|503|3.523198003678714
independent|9|7.546563596442233
find|55|5.736454988545982
ghana|13|7.178838816316916
coast|25|6.524912348910252
supreme|4|8.357493812658563
leader|11|7.345892900980083
condemns|2|9.050640993218508
petrol|75|5.426300060242142
growing|13|7.178838816316916
demand|498|3.5331880967538
fossil|26|6.485691635756971
fuel|138|4.816534488621248
is|592|3.3602815388944474
wake|9|7.546563596442233
up|664|3.2455060243020193
call|66|5.554133431752027
pares|20|6.748055900224462
back|221|4.3456254722607
weak|180|4.550831322888243
foreign|27|6.447951307774124
there|16|6.971199451538672
big|206|4.415912004988872
change|64|5.584905090418781
electricity|6|7.952028704550398
beyond|21|6.69926573605503
transition|15|7.035737972676243
unhappy|1|9.743788173778453
with|467|3.597458916109556
iea|175|4.579002199854939
say|332|3.9386532048619647
opec|1241|2.6201153885738457
ally|25|6.524912348910252
face|101|5.128667656937194
major|170|4.607989736728191
challenge|27|6.447951307774124
2020|26|6.485691635756971
make|68|5.524280468602346
fresh|64|5.584905090418781
effort|22|6.652745720420137
set|191|4.491514745731823
it|290|4.073907250797934
icahn|8|7.664346632098617
suffers|8|7.664346632098617
occidental|19|6.799349194612013
legal|14|7.1047308441631944
blow|17|6.910574829722237
buffett|6|7.952028704550398
buy|937|2.901104891540031
eib|2|9.050640993218508
phase|2|9.050640993218508
out|118|4.973103549312788
lending|5|8.134350261344352
2021|3|8.645175885110344
what|111|5.034257972466119
we|56|5.718436483043304
can|145|4.767054431357879
learn|3|8.645175885110344
from|373|3.8222097541346374
shipping|20|6.748055900224462
switch|5|8.134350261344352
tullow|37|6.1328702611342285
fire|32|6.278052270978726
brimstone|1|9.743788173778453
sermon|1|9.743788173778453
share|102|5.118815360494182
tumble|68|5.524280468602346
after|869|2.976445048513061
warning|20|6.748055900224462
guyana|7|7.79787802472314
project|56|5.718436483043304
york|17|6.910574829722237
governor|6|7.952028704550398
pressure|95|5.1899112821779125
national|19|6.799349194612013
grid|5|8.134350261344352
over|308|4.013688390804878
gas|400|3.752323626670471
supply|794|3.0667047125313176
natural|88|5.266451359300246
scorched|1|9.743788173778453
earth|7|7.79787802472314
policy|35|6.188440112289039
faroes|3|8.645175885110344
former|15|7.035737972676243
list|10|7.441203080784407
acquisition|5|8.134350261344352
vehicle|15|7.035737972676243
remain|107|5.070959339316547
an|118|4.973103549312788
attractive|1|9.743788173778453
investment|81|5.349339019106014
opportunity|30|6.342590792116297
decade|34|6.217427649162292
come|41|6.030216107074145
bhp|24|6.565734343430507
intercontinental|1|9.743788173778453
exchange|8|7.664346632098617
launch|37|6.1328702611342285
platform|12|7.2588815239904525
abu|22|6.652745720420137
dhabi|17|6.910574829722237
robot|5|8.134350261344352
help|47|5.893640572068395
increase|65|5.569400903882816
safety|9|7.546563596442233
rig|183|4.534302020937032
digitisation|1|9.743788173778453
next|131|4.868590850577301
revolution|18|6.853416415882289
40|10|7.441203080784407
ship|16|6.971199451538672
that|66|5.554133431752027
really|32|6.278052270978726
lng|34|6.217427649162292
plant|12|7.2588815239904525
sanction|236|4.279956368752843
toll|11|7.345892900980083
russian|90|5.243978503448188
exploration|34|6.217427649162292
making|16|6.971199451538672
reserve|83|5.324947565981855
work|23|6.608293957849304
harder|4|8.357493812658563
ai|4|8.357493812658563
sensor|1|9.743788173778453
keep|81|5.349339019106014
refinery|53|5.773496260226331
ticking|4|8.357493812658563
along|2|9.050640993218508
eastern|7|7.79787802472314
mediterranean|2|9.050640993218508
seek|61|5.632914309605142
buyer|24|6.565734343430507
cambodian|1|9.743788173778453
dream|13|7.178838816316916
refuse|7|7.79787802472314
die|9|7.546563596442233
venezuela|184|4.528852416169467
selling|24|6.565734343430507
cut|671|3.2350190368067713
bite|18|6.853416415882289
response|5|8.134350261344352
emission|25|6.524912348910252
question|25|6.524912348910252
hang|4|8.357493812658563
colossal|1|9.743788173778453
valuation|10|7.441203080784407
sheikh|3|8.645175885110344
down|323|3.9661358505557964
